"claim_id","summary","status","confidence","owner","notes"
"CLM-WOW-LOCAL-ONLY","Management remotes for the layered stack must remain local-only.","active","high","governance","Cloud pushes are forbidden unless the human explicitly changes the rule."
"CLM-WOW-LAYERED-GIT","The project uses a mega repo plus child Git repos for client, live state, and server project layers.","active","high","operating-model","Nested source repos are also tracked by scan/map tools."
"CLM-WOW-CLIENT-PAYLOAD-UNTRACKED","The game client has a large untracked payload that is currently intentional.","active","high","game-client","Full client tracking is blocked by disk capacity strategy."
"CLM-WOW-SCAN-DRIFT","Generated scans, maps, manifests, and forensic reports are authoritative only after a fresh cycle.","active","medium","engine","Stale generated evidence must be refreshed before high-risk action."
"CLM-WOW-UNKNOWN-RUNTIME","Server runtime state is unknown until live probe and log intelligence are refreshed.","active","medium","observability","Do not assume Docker or server processes are running."
"CLM-AIOS-GENERAL-PURPOSE","The AI system is a general local AI-OS control plane, not only a WoW project folder.","active","high","identity","WoW is the first managed project brain."
"CLM-AIOS-HUMAN-AUTHORITY","Human authority remains above agents, tools, models, and governance.","active","high","identity","Constitution defines this as non-negotiable."
"CLM-AIOS-MULTI-AGENT","The system supports pluggable human, Codex-like, GPT-like, research, observer, and governance agents.","active","high","agents","Agent registry defines roles and authority levels."
"CLM-AIOS-MODEL-ROUTING","The system can route work across coding, reasoning, research, diagnostics, and governance model classes.","active","medium","orchestration","Model router is a contract for future runtime implementation."
"CLM-AIOS-INSTITUTIONAL-TRAINING","The system improves through institutional training, feedback, evaluation, and lessons, not model-weight training by default.","active","medium","training","Training folder defines curriculum and policy."
"CLM-AIOS-OPEN-MODEL-ARCHAEOLOGY","The AI-OS can legally study public open-weight/open-source model families and self-hosted AI systems to extract architecture lessons.","active","medium","research","Claims remain source-labeled until reproduced or locally evaluated."
"CLM-AIOS-TARGET-AI-BLUEPRINT","The reconstructed AI target is a model-plus-tools-plus-memory-plus-runtime system, not a clone of any one public model.","active","medium","model-ops","Target architecture turns extracted lessons into our own build roadmap."
"CLM-AIOS-CONTEXTUAL-WORK-IQ","Contextual Work IQ is a required capability for choosing relevant memory, files, tools, risks, and verification paths.","active","medium","memory","Context IQ reduces repeated work and context drift."
