"evidence_id","source_type","canonical_name","relative_path","category","evidence_role","evidence_strength","event_time","sha256","notes"
"EVD-WOW-SCAN-001","generated_scan","EVD-WOW-SCAN-001__latest_project_scan","ai-system/sensory/scans/latest-scan.json","sensory","current_state","direct","","","Latest layered project scan."
"EVD-WOW-MAP-001","generated_map","EVD-WOW-MAP-001__project_map","ai-system/navigation/generated/project-map.json","navigation","topology","direct","","","Generated topology map."
"EVD-WOW-MANIFEST-001","generated_manifest","EVD-WOW-MANIFEST-001__generated_ai_index","ai-system/manifests/generated-ai-index.json","manifest","machine_ingestion","direct","","","Generated AI file index."
"EVD-WOW-LIVE-001","generated_probe","EVD-WOW-LIVE-001__latest_live_probe","ai-system/observability/reports/latest-live-probe.json","observability","runtime_probe","direct","","","Latest non-destructive live server probe when available."
"EVD-WOW-LOG-001","generated_log_intelligence","EVD-WOW-LOG-001__latest_log_intelligence","ai-system/observability/reports/latest-log-intelligence.json","observability","runtime_diagnosis","derived","","","Latest log signature scan."
"EVD-WOW-FORENSIC-001","generated_verification","EVD-WOW-FORENSIC-001__latest_forensic_verification","ai-system/forensics/verification-reports/latest-forensic-verification.json","forensics","integrity_check","derived","","","Latest evidence and claim verification report."
"EVD-WOW-STATE-001","generated_state_baseline","EVD-WOW-STATE-001__latest_watched_changes","ai-system/sensory/scans/latest-watched-changes.json","sensory","drift_check","derived","","","Latest watched-state delta report."
"EVD-WOW-DECISION-001","audit_ledger","EVD-WOW-DECISION-001__audit_ledger","ai-system/audit/audit-ledger.yml","audit","decision_memory","direct","","","Audit ledger for project decisions and effects."
"EVD-AIOS-ID-001","identity_constitution","EVD-AIOS-ID-001__constitution","ai-system/identity/constitution.md","identity","constitutional_anchor","direct","","","General AI-OS non-negotiable principles."
"EVD-AIOS-ORG-001","organization_hierarchy","EVD-AIOS-ORG-001__organization_hierarchy","ai-system/organization/hierarchy.yml","organization","authority_model","direct","","","Artificial organization hierarchy."
"EVD-AIOS-AGENT-001","agent_registry","EVD-AIOS-AGENT-001__agent_registry","ai-system/agents/agent-registry.yml","agents","agent_roster","direct","","","Pluggable human and AI agent registry."
"EVD-AIOS-ROUTE-001","model_router","EVD-AIOS-ROUTE-001__model_router","ai-system/orchestration/model-router.yml","orchestration","model_routing","direct","","","Provider-neutral multi-model routing policy."
"EVD-AIOS-TRAIN-001","training_curriculum","EVD-AIOS-TRAIN-001__training_curriculum","ai-system/training/curriculum.md","training","institutional_training","direct","","","Operational training curriculum."
"EVD-AIOS-MODELARCH-001","model_archaeology_source_ledger","EVD-AIOS-MODELARCH-001__source_ledger","ai-system/research/model-archaeology/source-ledger.yml","research","open_model_source_tracking","direct","","","Primary-source ledger for open model and self-hosted AI workspace deconstruction."
"EVD-AIOS-MODELARCH-002","model_archaeology_capability_matrix","EVD-AIOS-MODELARCH-002__capability_matrix","ai-system/research/model-archaeology/open-model-capability-matrix.yml","research","capability_extraction","direct","","","Capability extraction matrix from open model and workspace patterns."
"EVD-AIOS-TARGET-001","target_ai_architecture","EVD-AIOS-TARGET-001__target_ai_architecture","ai-system/model-ops/target-ai/target-ai-architecture.md","model_ops","reconstruction_blueprint","direct","","","Target reconstructed AI-OS architecture."
"EVD-AIOS-WORKIQ-001","contextual_work_iq","EVD-AIOS-WORKIQ-001__contextual_work_iq","ai-system/memory/context-iq/contextual-work-iq.md","memory","context_intelligence","direct","","","Contextual Work IQ memory and routing contract."
