"evidence_id","claim_id","relation","strength","relative_path","notes"
"EVD-WOW-SCAN-001","CLM-WOW-LOCAL-ONLY","supports","direct","ai-system/sensory/scans/latest-scan.json","Scan checks management remotes for cloud origins."
"EVD-WOW-SCAN-001","CLM-WOW-LAYERED-GIT","supports","direct","ai-system/sensory/scans/latest-scan.json","Scan enumerates project layers."
"EVD-WOW-MAP-001","CLM-WOW-LAYERED-GIT","supports","direct","ai-system/navigation/generated/project-map.json","Project map records repo topology."
"EVD-WOW-SCAN-001","CLM-WOW-CLIENT-PAYLOAD-UNTRACKED","supports","direct","ai-system/sensory/scans/latest-scan.json","Scan records intentional untracked game client payload."
"EVD-WOW-MANIFEST-001","CLM-WOW-SCAN-DRIFT","supports","derived","ai-system/manifests/generated-ai-index.json","Generated index is refreshed by the operation cycle."
"EVD-WOW-LIVE-001","CLM-WOW-UNKNOWN-RUNTIME","qualifies","direct","ai-system/observability/reports/latest-live-probe.json","Runtime claims depend on latest probe availability."
"EVD-WOW-LOG-001","CLM-WOW-UNKNOWN-RUNTIME","qualifies","derived","ai-system/observability/reports/latest-log-intelligence.json","Runtime diagnosis depends on latest log scan."
"EVD-AIOS-ID-001","CLM-AIOS-GENERAL-PURPOSE","supports","direct","ai-system/identity/constitution.md","Identity layer generalizes the system beyond one project."
"EVD-AIOS-ID-001","CLM-AIOS-HUMAN-AUTHORITY","supports","direct","ai-system/identity/constitution.md","Human authority is constitutional."
"EVD-AIOS-AGENT-001","CLM-AIOS-MULTI-AGENT","supports","direct","ai-system/agents/agent-registry.yml","Agent registry names pluggable roles."
"EVD-AIOS-ROUTE-001","CLM-AIOS-MODEL-ROUTING","supports","direct","ai-system/orchestration/model-router.yml","Router defines model and agent classes."
"EVD-AIOS-TRAIN-001","CLM-AIOS-INSTITUTIONAL-TRAINING","supports","direct","ai-system/training/curriculum.md","Training curriculum defines improvement path."
"EVD-AIOS-MODELARCH-001","CLM-AIOS-OPEN-MODEL-ARCHAEOLOGY","supports","direct","ai-system/research/model-archaeology/source-ledger.yml","Source ledger tracks model/system sources, license status, and cautions."
"EVD-AIOS-MODELARCH-002","CLM-AIOS-OPEN-MODEL-ARCHAEOLOGY","supports","direct","ai-system/research/model-archaeology/open-model-capability-matrix.yml","Capability matrix maps extracted traits to target AI implications."
"EVD-AIOS-TARGET-001","CLM-AIOS-TARGET-AI-BLUEPRINT","supports","direct","ai-system/model-ops/target-ai/target-ai-architecture.md","Target architecture defines the reconstructed model-plus-AI-OS design."
"EVD-AIOS-WORKIQ-001","CLM-AIOS-CONTEXTUAL-WORK-IQ","supports","direct","ai-system/memory/context-iq/contextual-work-iq.md","Context IQ contract defines inputs, outputs, memory classes, and failure modes."
